1. Please specify your age range:,2. What is your area of expertise? Please select the most relevant option from the list below. ,3. Do you have previous knowledge of business process management?,"4.  What type of device do you use to complete the survey? For optimal viewing experience, we recommend using a device with a screen resolution larger than 1600x900 pixels. ","5. From the Simulation Control Panel located in the bottom right corner, you can activate the dynamic bar chart by clicking on the  ➤ button . Select Order ID 'Order 1', and select the GHG type and source you want to see. Try to answer:
Which activity release the most amount of gas over all the time?","6. The dynamic bar chart might show trends of the amount of gases emited over time, which of the following statements is true?",7. How many activities does the business process have? (Exclude the external activities),8. Which visual representations did you use to answer the previous question?,"9. In the business process flow chart, what does the red background in the process diagram indicate?",10. Which activity does not belong to external activities?,11. Please select number 4 on the following graph,"12. Select Order Id  'Order 3', 'ch4' for GHG type, and 'total' for Source on the panel. Try to answer:
Which activity releases the third highest amount of CH4 among all activities (including both main activities and external activities)? ",13. How accurate do you perceive the data displayed in the radial bar chart?,"14.  Select  Order Id  'Order 4' , 'co2' for GHG type, and 'total' for Source on the panel. Try to discover: 
What percentage of the total emissions is released by Activity 4 (Prepare to Send Orders)? ","15.  Select 'Order 4' for Order Id;  'co2' for GHG type;  'total' for Source; and only choose 'delivery' and 'waste' for external activities on the Panel.  Try to answer:
What percentage of the total emissions is released by 'delivery' ?","16. Select GHG type 'n2o' on the filter panel. Compare all the five orders: 
Which activity seems to always release the least greenhouse gas?",17.  Which visual representations did you use to answer the previous question?,"18.  Select 'co2' as GHG Type and select 'equipment' as source of GHG on the panel. Try to disvover: 
What is the average amount of emissions for  Activity 4 (Prepare to Send Orders)  across five orders?"" ",19. How clear and understandable did you find the layout of the visualization panel?  ,20.  How effectively did the filtering options meet your needs in exploring GHG emissions data? ,21. How effectively do the visual elements express the data presented? ,22. How satisfied are you with the speed and responsiveness of the visualization panel?  ,"23. Which of the offered visual representations, in your opinion, is best suited for showing the amount of GHG emissions?","24. Here we presents another visualization, a dynamic flowchart in GIF format that displays Order 1's CO2 emissions across different stages (the GIF lasts approximately 35 seconds). Compared to the dynamic bar chart in the visualization dashboard, do you think the display mode shown here in the survey can help you better understand?","25. Compare the business process flow on the top right corner of the dashboard to the following picture, do you think this display mode can help people with visual issues (e.g. colour deficiency, colour blindness)?","Thank you for your time for the survey, do you have any further comments and suggestions for the improvments of the visualization dashboard? Feel free to answer the question."
26-30,Information Systems,yes,Desktop Computer,External Activity: Commuting,External Activity: Commuting always releases the most amount of greenhouse gases.,6,dynamic bar chart,The process with red background releases a significant amount of greenhouse gases.,pack orders,4,5. Deliver Orders,5,0.14%,0.14%,Activity 2: Communicate with Warehouse,line graph for multiple orders,15.68kg,5,5,5,5,line graph on the bottom right corner,Yes,Yes,
26-30,Information Systems,yes,Smartphone,External Activity: Commuting,External Activity: Commuting always releases the most amount of greenhouse gases.,6,business process flow chart on the top right corner,The process with red background releases a significant amount of greenhouse gases.,pack orders,4,5. Deliver Orders,5,25.28%,30.14%,Activity 2: Communicate with Warehouse,line graph for multiple orders,15.68kg,5,5,5,5,pie chart;line graph on the bottom right corner,Both are equally clear,Yes,"First of all,content of the questionnaire is very professional, the questions are straight to the point, the data is clear and easy to understand, and people have the desire to continue. The difficulty of the problem is not very high, which is interesting to continue to study but not too difficult, great.
In addition, I think the color of the visual dashboard can be more vivid, and it is more clear to distinguish by different colors. Simple text and graphics will be easier to understand than complex tables."
26-30,Data Analysis,yes,Laptop,External Activity: Commuting,"The longer the activity duration, the more greenhouse gases are released.",6,business process flow chart on the top right corner,The process with red background releases a significant amount of greenhouse gases.,pack orders,4,5. Deliver Orders,5,25.28%,30.14%,Activity 2: Communicate with Warehouse,line graph for multiple orders,15.68kg,4,5,4,3,radial bar chart;line graph on the bottom right corner,No,Maybe,
21-25,Engineering,no,Laptop,External Activity: Commuting,"The longer the activity duration, the more greenhouse gases are released.",9,business process flow chart on the top right corner,The process with red background releases a significant amount of greenhouse gases.,pack orders,4,5. Deliver Orders,4,25.28%,30.14%,Activity 2: Communicate with Warehouse,business process flow chart,15.68kg,4,5,4,4,dynamic  bar chart;pie chart,No,Maybe,
26-30,Informatics,yes,Desktop Computer,External Activity: Commuting,External Activity: Commuting always releases the most amount of greenhouse gases.,6,business process flow chart on the top right corner,The process with red background releases a significant amount of greenhouse gases.,pack orders,4,5. Deliver Orders,4,25.28%,0.14%,Activity 2: Communicate with Warehouse,line graph for multiple orders,15.68kg,4,4,4,3,dynamic  bar chart,Yes,Yes,"Maybe add text to radial bar chart, because sometimes there are not too much differences for the activities with small amount of emissions."
21-25,Data Analysis,no,Laptop,External Activity: Commuting,External Activity: Commuting always releases the most amount of greenhouse gases.,6,business process flow chart on the top right corner,The process with red background releases a significant amount of greenhouse gases.,pack orders,4,5. Deliver Orders,4,25.28%,69.86%,Activity 2: Communicate with Warehouse,line graph for multiple orders,15.68kg,4,4,4,3,dynamic  bar chart,Both are equally clear,Yes,
21-25,Informatics,no,Laptop,External Activity: Commuting,External Activity: Commuting always releases the most amount of greenhouse gases.,6,dynamic bar chart,The process with red background releases a significant amount of greenhouse gases.,pack orders,4,5. Deliver Orders,4,25.28%,30.14%,Activity 2: Communicate with Warehouse,line graph for multiple orders,15.68kg,3,5,4,3,dynamic  bar chart,No,Maybe,the control panel for dynamic chart should be closer to the chart itself
21-25,Informatics,yes,Laptop,External Activity: Commuting,External Activity: Commuting always releases the most amount of greenhouse gases.,6,business process flow chart on the top right corner,The process with red background releases a significant amount of greenhouse gases.,pack orders,4,5. Deliver Orders,4,25.28%,30.14%,None of above,line graph for multiple orders,15.68kg,4,4,4,4,dynamic  bar chart;pie chart;line graph on the bottom right corner,No,Maybe,"When I switched the GHG type from co2 to n2o, one element 'waste' disappeared in the line graph, it is confusing"
26-30,Informatics,no,Laptop,External Activity: Commuting,"The longer the activity duration, the more greenhouse gases are released.",6,dynamic bar chart,The process with red background releases a significant amount of greenhouse gases.,pack orders,4,5. Deliver Orders,5,25.28%,30.14%,Activity 1: Deal With Orders,line graph for multiple orders,15.68kg,4,5,4,3,dynamic  bar chart;radial bar chart;pie chart,Both are equally clear,Yes,
21-25,Information Systems,yes,Smartphone,External Activity: Commuting,"The longer the activity duration, the more greenhouse gases are released.",6,business process flow chart on the top right corner,The process with red background releases a significant amount of greenhouse gases.,pack orders,4,5. Deliver Orders,4,25.28%,30.14%,None of above,dynamic bar chart,15.68kg,3,5,4,2,dynamic  bar chart;business process flow chart;pie chart,No,Maybe,"When checking on the dashboard website, it keeps showing error messages. (But it didn't affect the filter function of the dashboard)"
