1. Please specify your age range:,2. What is your area of expertise? Please select the most relevant option from the list below. ,3. Do you have previous knowledge of business process management?,"4.  What type of device do you use to complete the survey? For optimal viewing experience, we recommend using a device with a screen resolution larger than 1600x900 pixels. ","5. From the Simulation Control Panel located in the bottom right corner, you can activate the dynamic bar chart by clicking on the  ➤ button . Select Order ID 'Order 1', and select the GHG type and source you want to see. Try to answer:
Which activity release the most amount of gas over all the time?","6. The dynamic chart might show trends of the amount of gases emited over time, which of the following statements is true?",7. How many activities does the business process have? (Exclude the external activities),8. Which visual representations did you use to answer the previous question?,"9. In the business process flow chart, what does the red background in the process diagram indicate?",10. Which activity does not belong to external actvities?,11. Please select number 4 on the following graph,"12. Select  Order Id  'Order 3' , 'ch4' for GHG type, and 'total' for Source. Try to answer:
Which activity releases the third highest amount of CH4 among all activities (including both main activities and external activities)?",13. How accurate do you perceive the data displayed in the Treemap?,"14.  Select  Order Id  'Order 4' , 'co2' for GHG type, and 'total' for Source on the panel. Try to discover: 
What percentage of the total emissions is released by Activity 4 (Prepare to Send Orders)? ","15.  Select 'Order 4' for Order Id;  'co2' for GHG type;  'total' for Source; and only choose 'delivery' and 'waste' for external activities on the Panel.  Try to answer:
What percentage of the total emissions is released by 'delivery' ?","16. Select GHG type 'n2o' on the filter panel. Compare all the five orders: 
Which activity seems to always release the least greenhouse gas?",17.  Which visual representations did you use to answer the previous question?,"18.  Select 'co2' as GHG Type and select 'equipment' as source of GHG on the panel. Try to disvover: 
What is the average amount of emissions for Activity 4 (Prepare to Send Orders) across five orders?"" ",19. How clear and understandable did you find the layout of the visualization panel?  ,20.  How effectively did the filtering options meet your needs in exploring GHG emissions data? ,21. How effectively do the visual elements express the data presented? ,22. How satisfied are you with the speed and responsiveness of the visualization panel?  ,"23. Which of the offered visual representations, in your opinion, is best suited for showing the amount of GHG emissions?","24. Here we presents another visualization, a dynamic flowchart in GIF format that displays Order 1's CO2 emissions across different stages (the GIF lasts approximately 35 seconds).  Compared to the dynamic bar chart in the visualization dashboard, do you think the display mode shown here in the survey can help you better understand?","25. Compare the business process flow on the top right corner of the dashboard to the following picture, do you think this display mode can help people with visual issues (e.g. colour deficiency, colour blindness)?","Thank you for your time for the survey, do you have any further comments and suggestions for the improvments of the visualization dashboard? Feel free to answer the question.",Unnamed: 27
26-30,Information Systems,yes,Desktop Computer,External Activity: Commuting,External Activity: Commuting always releases the most amount of greenhouse gases.,6,dynamic chart on the left,The process with red background releases a significant amount of greenhouse gases.,pack orders,4,None of the above,4,25.28%,69.86%,Activity 2: Communicate with Warehouse,,None of the above,3,5,4,3,line graph on the bottom right corner,Dynamic Flowchart (the GIF),,,Maybe
26-30,Informatics,yes,Desktop Computer,External Activity: Commuting,"The longer the activity duration, the more greenhouse gases are released.",6,pie chart,The process with red background releases a significant amount of greenhouse gases.,pack orders,4,3. Pack Orders,4,0.14%,30.14%,External Activity: 'delivery',dynamic bar chart,15.68kg,4,5,5,5,business process flow chart;pie chart,Both are equally clear,Maybe,,
21-25,Data Analysis,yes,Desktop Computer,External Activity: Commuting,"The longer the activity duration, the more greenhouse gases are released.",6,business process flow chart on the top right corner,The process with red background releases a significant amount of greenhouse gases.,pack orders,4,5. Deliver Orders,3,25.28%,30.14%,Activity 2: Communicate with Warehouse,line graph for multiple orders,15.68kg,4,5,4,3,dynamic  bar chart;line graph on the bottom right corner,Both are equally clear,No,,
21-25,Informatics,no,Laptop,External Activity: Commuting,External Activity: Commuting always releases the most amount of greenhouse gases.,6,line graph on the bottom right corner,The process with red background releases a significant amount of greenhouse gases.,pack orders,4,None of the above,3,25.28%,30.14%,Activity 2: Communicate with Warehouse,line graph for multiple orders,15.68kg,5,5,4,4,dynamic  bar chart;business process flow chart;line graph on the bottom right corner,Yes,No,"The questionnaire is very easy to understand. I personally prefer to judge data using pie charts, which I think are the clearest (preferably with different bright colors).
However, in the use of color, it seems to be necessary to consider the problem that color blind patients can not recognize, such as the large use of red and green in the above chart, red and green color blind patients should be difficult to distinguish.",
26-30,Business,yes,Laptop,External Activity: Commuting,"The longer the activity duration, the more greenhouse gases are released.",6,dynamic chart on the left,The process with red background releases a significant amount of greenhouse gases.,pack orders,4,1. Deal With Orders,4,25.28%,30.14%,Activity 2: Communicate with Warehouse,line graph for multiple orders,15.68kg,4,4,4,3,dynamic  bar chart;treemap;pie chart,No,Maybe,"For the business flow chart, it seems a bit messy because the text are outside the box, but it will help for the color blindness.",
21-25,Engineering,no,Laptop,External Activity: Commuting,"The longer the activity duration, the more greenhouse gases are released.",9,dynamic chart on the left,The process with red background releases a significant amount of greenhouse gases.,pack orders,4,5. Deliver Orders,4,25.28%,30.14%,Activity 2: Communicate with Warehouse,pie chart,15.68kg,3,4,4,2,dynamic  bar chart;pie chart,No,Yes,,
21-25,Engineering,no,Laptop,Activity 4. Prepar to Send Orders,"The longer the activity duration, the more greenhouse gases are released.",6,business process flow chart on the top right corner,The process with red background releases a significant amount of greenhouse gases.,pack orders,4,5. Deliver Orders,3,25.28%,30.14%,Activity 2: Communicate with Warehouse,dynamic bar chart,15.68kg,4,5,3,2,dynamic  bar chart,No,Yes,,
21-25,Informatics,no,Desktop Computer,External Activity: Commuting,"The longer the activity duration, the more greenhouse gases are released.",6,dynamic chart on the left,The process with red background releases a significant amount of greenhouse gases.,pack orders,4,None of the above,3,25.28%,30.14%,Activity 2: Communicate with Warehouse,business process flow chart,15.68kg,3,5,4,3,dynamic  bar chart;pie chart,No,Maybe,,
21-25,Informatics,yes,Laptop,External Activity: Commuting,"The longer the activity duration, the more greenhouse gases are released.",6,dynamic chart on the left,The process with red background releases a significant amount of greenhouse gases.,pack orders,4,5. Deliver Orders,5,25.28%,30.14%,None of above,dynamic bar chart,15.68kg,4,5,5,5,dynamic  bar chart;business process flow chart;pie chart;line graph on the bottom right corner,No,No,"I hope the filter and visualization parts can be more clearly divided. For example, most websites put the filter part on the top, and the visualization part is always behind the filter part, so users can see the differences more easily. ",
21-25,Data Analysis,yes,Laptop,External Activity: Commuting,External Activity: Commuting always releases the most amount of greenhouse gases.,6,dynamic chart on the left,The process with red background releases a significant amount of greenhouse gases.,pack orders,4,5. Deliver Orders,3,25.28%,30.14%,Activity 2: Communicate with Warehouse,line graph for multiple orders,15.68kg,3,5,4,3,dynamic  bar chart;pie chart,No,No,"The treemap seems to has the same function as the pie chart, but not as clear as it.",
